TableName,PartitionNumber,PartitionMinValue,PartitionMaxValue,PartitionRows,TaskName,TaskStartTime,TaskEndTime,LastErrorMessage
vevodb.analytics.daily_streams,0,,,20,Extract partition #0 of vevodb.analytics.daily_streams,08/12/2026 21:51:02,08/12/2026 21:51:05,"Error processing the task '1002'. Failed exporting data from the 'redshift' engine using the 'unload' data source.
Please check the database connection and the query.

Exception Type: Error
Exception Message: ('XX000', '[XX000] ERROR: S3ServiceException:User: arn:aws:sts::307946663293:assumed-role/VevoRedshiftSpectrumRole/RedshiftIamRoleSession is not authorized to perform: s3:PutObject on resource: ""arn:aws:s3:::vevo-spectrum-data-simulation/migration/task_results/workflows/401/tables/\nDETAIL: \n  -----------------------------------------------\n  error:  S3ServiceException:User: arn:aws:sts::307946663293:assumed-role/VevoRedshiftSpectrumRole/RedshiftIamRoleSession is not authorized to perform: s3:PutObject on resource: ""arn:aws:s3:::vevo-spectrum-data-simulation/migration/task_results/workflows/401/tables/\n  code:      8001\n  context:   Failed to initialize S3 output stream. S3 path: s3://vevo-spectrum-data-simulation/migration/task_results/workflows/401/tables/501/data/full_table/0066_part_00.parquet\n  query:     1018765[child_sequence:1]\n  location:  iceberg_write_utils.cpp:128\n  process:   query1_4045_1018767 [pid=11330]\n  -----------------------------------------------\n;\nError while executing the query (1) (SQLExecDirectW)')"
vevodb.operations.ad_campaigns,0,,,8,Extract partition #0 of vevodb.operations.ad_campaigns,08/12/2026 21:50:51,08/12/2026 21:50:54,"Error processing the task '111'. Failed exporting data from the 'redshift' engine using the 'unload' data source.
Please check the database connection and the query.

Exception Type: Error
Exception Message: ('XX000', '[XX000] ERROR: S3ServiceException:User: arn:aws:sts::307946663293:assumed-role/VevoRedshiftSpectrumRole/RedshiftIamRoleSession is not authorized to perform: s3:PutObject on resource: ""arn:aws:s3:::vevo-spectrum-data-simulation/migration/task_results/workflows/401/tables/\nDETAIL: \n  -----------------------------------------------\n  error:  S3ServiceException:User: arn:aws:sts::307946663293:assumed-role/VevoRedshiftSpectrumRole/RedshiftIamRoleSession is not authorized to perform: s3:PutObject on resource: ""arn:aws:s3:::vevo-spectrum-data-simulation/migration/task_results/workflows/401/tables/\n  code:      8001\n  context:   Failed to initialize S3 output stream. S3 path: s3://vevo-spectrum-data-simulation/migration/task_results/workflows/401/tables/503/data/full_table/0064_part_00.parquet\n  query:     1018735[child_sequence:1]\n  location:  iceberg_write_utils.cpp:128\n  process:   query1_4039_1018737 [pid=11324]\n  -----------------------------------------------\n;\nError while executing the query (1) (SQLExecDirectW)')"
vevodb.operations.ad_placements,0,,,10,Extract partition #0 of vevodb.operations.ad_placements,08/12/2026 21:50:52,08/12/2026 21:50:54,"Error processing the task '1001'. Failed exporting data from the 'redshift' engine using the 'unload' data source.
Please check the database connection and the query.

Exception Type: Error
Exception Message: ('XX000', '[XX000] ERROR: S3ServiceException:User: arn:aws:sts::307946663293:assumed-role/VevoRedshiftSpectrumRole/RedshiftIamRoleSession is not authorized to perform: s3:PutObject on resource: ""arn:aws:s3:::vevo-spectrum-data-simulation/migration/task_results/workflows/401/tables/\nDETAIL: \n  -----------------------------------------------\n  error:  S3ServiceException:User: arn:aws:sts::307946663293:assumed-role/VevoRedshiftSpectrumRole/RedshiftIamRoleSession is not authorized to perform: s3:PutObject on resource: ""arn:aws:s3:::vevo-spectrum-data-simulation/migration/task_results/workflows/401/tables/\n  code:      8001\n  context:   Failed to initialize S3 output stream. S3 path: s3://vevo-spectrum-data-simulation/migration/task_results/workflows/401/tables/502/data/full_table/0022_part_00.parquet\n  query:     1018740[child_sequence:1]\n  location:  iceberg_write_utils.cpp:128\n  process:   query0_4040_1018742 [pid=23817]\n  -----------------------------------------------\n;\nError while executing the query (1) (SQLExecDirectW)')"
