OBJECT_NAME,OBJECT_TYPE,STATUS,ERROR_MESSAGE,DATABASE,SCHEMA,FQN,SNOWSIGHT_URL
vevodb.operations.ad_campaigns,Table,Failed,"Error: JavaScript execution error: Uncaught Execution of multiple statements failed on statement ""CREATE TABLE IF NOT EXISTS ope..."" (at line 2, position 0).
SQL compilation error:
Schema 'VEVODB.OPERATIONS' does not exist or not authorized. in SYSTEM$MULTISTMT at '    throw `Execution of multiple statements failed on statement {0} (at line {1}, position {2}).`.replace('{1}', LINES[i])' position 4
stackstrace: 
SYSTEM$MULTISTMT line: 10 SqlState: P0000, VendorCode: 100132, QueryId: 01c65897-0202-bb06-0011-73e30190d586",VEVODB,PUBLIC,VEVODB.PUBLIC.vevodb.operations.ad_campaigns,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB/schemas/PUBLIC
vevodb.operations.ad_placements,Table,Failed,"Error: JavaScript execution error: Uncaught Execution of multiple statements failed on statement ""CREATE TABLE IF NOT EXISTS ope..."" (at line 2, position 0).
SQL compilation error:
Schema 'VEVODB.OPERATIONS' does not exist or not authorized. in SYSTEM$MULTISTMT at '    throw `Execution of multiple statements failed on statement {0} (at line {1}, position {2}).`.replace('{1}', LINES[i])' position 4
stackstrace: 
SYSTEM$MULTISTMT line: 10 SqlState: P0000, VendorCode: 100132, QueryId: 01c65897-0202-bba8-0011-73e3019152b2",VEVODB,PUBLIC,VEVODB.PUBLIC.vevodb.operations.ad_placements,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB/schemas/PUBLIC
vevodb.analytics.daily_streams,Table,Failed,"Error: JavaScript execution error: Uncaught Execution of multiple statements failed on statement ""CREATE TABLE IF NOT EXISTS ana..."" (at line 2, position 0).
SQL compilation error:
Schema 'VEVODB.ANALYTICS' does not exist or not authorized. in SYSTEM$MULTISTMT at '    throw `Execution of multiple statements failed on statement {0} (at line {1}, position {2}).`.replace('{1}', LINES[i])' position 4
stackstrace: 
SYSTEM$MULTISTMT line: 10 SqlState: P0000, VendorCode: 100132, QueryId: 01c65897-0202-b777-0011-73e30191d036",VEVODB,PUBLIC,VEVODB.PUBLIC.vevodb.analytics.daily_streams,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB/schemas/PUBLIC
