SqlProcedureTotalConversionErrors,0
SqlProcedureTotalLinesOfCode,43
SqlProcedureTotalOccurrences,5
SqlProcedureTotalParsingErrors,0
SqlProcedureTotalWarnings,151
SqlRevokeLoCConversionRate,0
SqlRevokeObjectConversionRate,0
SqlRevokeTotalLinesOfCode,0
SqlRevokeTotalOccurrences,0
SqlRevokeTotalParsingErrors,0
SqlSizeMB,0.04MB
SqlTableCharacterConversionRate,100
SqlTableFullyConvertedOccurrences,9
SqlTableLoCConversionRate,100
SqlTableObjectConversionRate,100
SqlTableTotalCharacters,3755
SqlTableTotalConversionErrors,0
SqlTableTotalLinesOfCode,112
SqlTableTotalOccurrences,9
SqlTableTotalParsingErrors,0
SqlTableTotalWarnings,8
SqlTotalCharacters,43648
SqlTotalConversionErrors,0
SqlTotalOccurrences,27
SqlTotalParsingErrors,5
SqlTotalWarnings,161
SqlTypeCharacterConversionRate,0
SqlTypeFullyConvertedOccurrences,0
SqlTypeLoCConversionRate,0
SqlTypeObjectConversionRate,0
SqlTypeTotalCharacters,0
SqlTypeTotalConversionErrors,0
SqlTypeTotalLinesOfCode,0
SqlTypeTotalOccurrences,0
SqlTypeTotalParsingErrors,0
SqlTypeTotalWarnings,0
SqlUnrecognizedElementsLOC,5
SqlViewCharacterConversionRate,100
SqlViewFullyConvertedOccurrences,3
SqlViewLoCConversionRate,100
SqlViewObjectConversionRate,100
SqlViewTotalCharacters,1245
SqlViewTotalConversionErrors,0
SqlViewTotalLinesOfCode,20
SqlViewTotalOccurrences,3
SqlViewTotalParsingErrors,0
SqlViewTotalWarnings,0
StartConversion,2026/08/12 12:38:56 -05:00
SystemCPU,Data not provided
SystemRAM,Data not provided
TableCharacterConversionRate,100
TableFullyConvertedOccurrences,9
TableLoCConversionRate,100
TableObjectConversionRate,100
TablesTransformationTarget,Regular
TableTotalCharacters,3755
TableTotalConversionErrors,0
TableTotalLinesOfCode,112
TableTotalOccurrences,9
TableTotalParsingErrors,0
TableTotalWarnings,8
TableValuedFunctionsLOC,0
TotalCharacterConversionRate,26.04
TotalCodeUnits,27
TotalConversionErrors,0
TotalConvertedLines,202
TotalErrors,151
TotalFiles,27
TotalFilesNotGenerated,0
TotalIdentifiedObjects,20
TotalInvalidFiles,0
TotalLinesOfCode,210
TotalLoCConversionRate,96.19
TotalMissingObjectReferences,18
TotalNonParsingTransformationExceptions,0
TotalOtherEWIs,146
TotalParsingErrors,5
TotalParsingEWIs,5
TotalPowerBiFiles,0
TotalSize,44.64KB
TotalValidatedFiles,0
TotalWarnings,6
TransformationTime,0.36259
TriggerLinesOfCode,0
Triggers,0
TypeAliasCount,0
TypeArrayCount,0
TypeObjectCount,0
UniqueFDMs,3
UniqueMissingObjectReferences,8
UniqueOtherCriticalIssues,0
UniqueParsingIssues,1
UniquePRFs,0
UnrecognizedElements,5
UnrecognizedElementsLOC,5
UnScopeCFunctionsLoC,0
UnScopeCFunctionsObjects,0
UnScopeCProceduresLoC,0
UnScopeCProceduresObjects,0
UnScopeJavaFunctionsLoC,0
UnScopeJavaFunctionsObjects,0
UnScopeJavaProceduresLoC,0
UnScopeJavaProceduresObjects,0
UseIntervalDatatype,False
ViewCharacterConversionRate,100
ViewFullyConvertedOccurrences,3
ViewLoCConversionRate,100
ViewObjectConversionRate,100
ViewTotalCharacters,1245
ViewTotalConversionErrors,0
ViewTotalLinesOfCode,20
ViewTotalOccurrences,3
ViewTotalParsingErrors,0
ViewTotalWarnings,0
WorkloadName,
