SessionID,FileName,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self),Source Language,MigrationID
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns_history.sql,Data Type,VARCHAR,SQL,22,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_generate_campaign_report.sql,Data Type,DECIMAL,SQL,1,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_generate_campaign_report.sql,Query,JOIN,SQL,5,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Operator,IS NULL / IS NOT NULL,SQL,6,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Data Type,INT8,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Statement,EXECUTE,SQL,6,6,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Operator,FIELD ACCESS,SQL,97,6,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns_history.sql,Data Type,NUMERIC,SQL,9,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/analytics/materializedview/mv_daily_revenue_summary.sql,DDL,CREATE MATERIALIZED VIEW,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Functions & Expressions,NULL,SQL,3,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Query,GROUP BY,SQL,4,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Operator,/,SQL,4,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_generate_campaign_report.sql,Set Operator,EXCEPT,SQL,16,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Data Type,INT4,SQL,6,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Query,USING,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns.sql,DDL,ALTER TABLE table_constraint,SQL,8,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_close_campaign.sql,DDL Content,FORMAL PARAMETER DECLARATION,SQL,15,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/analytics/procedure/sp_refresh_daily_summary.sql,DDL,REFRESH MATERIALIZED VIEW,SQL,1,1,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/materializedview/mv_advertiser_spend.sql,Data Type,FLOAT,SQL,1,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Statement - Control of Flow,IF,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns_history.sql,Data Type,DATE,SQL,10,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Query,SELECT,SQL,13,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_close_campaign.sql,DDL Content,LANGUAGE,SQL,5,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,DDL,CREATE VIEW,SQL,7,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/schema/operations.sql,Common Clause,AUTHORIZATION,SQL,7,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_close_campaign.sql,DDL Content,OR REPLACE,SQL,9,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,DML,INSERT,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns.sql,Data Type,CHARACTER VARYING,SQL,8,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_generate_campaign_report.sql,Statement,DECLARE VARIABLE,SQL,3,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_placements.sql,Data Type,TEXT,SQL,8,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,DML,DELETE,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns.sql,DDL Content,PRIMARY KEY COLUMN,SQL,8,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Functions & Expressions,AVG,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_close_campaign.sql,Data Type,INTEGER,SQL,17,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Query,LEFT JOIN,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_placements.sql,Functions & Expressions,"""IDENTITY""",SQL,8,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns_history.sql,Functions & Expressions,GETDATE,SQL,6,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
